Date 	series 	OPEN 	HIGH 	LOW 	PREV. CLOSE 	ltp 	close 	vwap 	52W H 	52W L 	VOLUME 	VALUE 	No of trades 
26-Jul-24	EQ	"2,995.00"	"3,109.00"	"2,988.10"	"2,973.50"	"3,072.25"	"3,080.50"	"3,066.52"	"3,743.90"	"2,142.00"	"19,42,427"	"5,95,64,90,441.70"	"1,11,808"
25-Jul-24	EQ	"2,960.70"	"3,017.65"	"2,945.10"	"2,970.70"	"2,995.00"	"2,973.50"	"2,980.02"	"3,743.90"	"2,142.00"	"11,05,721"	"3,29,50,71,825.30"	"75,405"
24-Jul-24	EQ	"2,995.35"	"3,007.50"	"2,959.30"	"2,995.35"	"2,968.80"	"2,970.70"	"2,980.98"	"3,743.90"	"2,142.00"	"6,93,702"	"2,06,79,11,056.30"	"54,185"
23-Jul-24	EQ	"3,020.00"	"3,038.00"	"2,886.35"	"3,000.85"	"2,999.40"	"2,995.35"	"2,989.95"	"3,743.90"	"2,142.00"	"14,43,331"	"4,31,54,94,351.30"	"1,03,491"
22-Jul-24	EQ	"3,005.70"	"3,026.90"	"2,972.15"	"3,005.70"	"3,000.00"	"3,000.85"	"3,002.66"	"3,743.90"	"2,142.00"	"6,62,085"	"1,98,80,13,002.45"	"50,675"
19-Jul-24	EQ	"3,092.00"	"3,094.50"	"3,000.00"	"3,092.20"	"3,007.95"	"3,005.70"	"3,033.24"	"3,743.90"	"2,142.00"	"10,26,941"	"3,11,49,56,135.35"	"68,966"
18-Jul-24	EQ	"3,106.00"	"3,111.00"	"3,057.15"	"3,109.30"	"3,090.00"	"3,092.20"	"3,083.68"	"3,743.90"	"2,142.00"	"10,21,653"	"3,15,04,50,900.40"	"80,772"
16-Jul-24	EQ	"3,110.00"	"3,137.75"	"3,096.10"	"3,090.40"	"3,106.50"	"3,109.30"	"3,115.88"	"3,743.90"	"2,142.00"	"9,88,357"	"3,07,96,03,432.30"	"60,074"
15-Jul-24	EQ	"3,066.10"	"3,103.50"	"3,058.35"	"3,065.45"	"3,091.00"	"3,090.40"	"3,081.16"	"3,743.90"	"2,142.00"	"7,24,174"	"2,23,12,95,323.25"	"44,784"
12-Jul-24	EQ	"3,090.00"	"3,098.80"	"3,058.35"	"3,078.30"	"3,066.00"	"3,065.45"	"3,075.05"	"3,743.90"	"2,142.00"	"7,56,036"	"2,32,48,51,552.85"	"51,794"
11-Jul-24	EQ	"3,118.70"	"3,129.80"	"3,074.10"	"3,096.00"	"3,087.00"	"3,078.30"	"3,097.76"	"3,743.90"	"2,142.00"	"8,99,781"	"2,78,73,01,793.45"	"85,332"
10-Jul-24	EQ	"3,120.10"	"3,127.25"	"3,063.40"	"3,110.75"	"3,093.90"	"3,096.00"	"3,097.88"	"3,743.90"	"2,142.00"	"5,86,710"	"1,81,75,56,522.45"	"44,240"
09-Jul-24	EQ	"3,115.95"	"3,158.00"	"3,100.50"	"3,113.60"	"3,112.00"	"3,110.75"	"3,125.40"	"3,743.90"	"2,142.00"	"9,22,403"	"2,88,28,81,547.45"	"57,330"
08-Jul-24	EQ	"3,147.90"	"3,158.20"	"3,075.00"	"3,147.90"	"3,112.00"	"3,113.60"	"3,104.41"	"3,743.90"	"2,142.00"	"11,55,112"	"3,58,59,41,290.20"	"84,099"
05-Jul-24	EQ	"3,143.90"	"3,158.55"	"3,123.95"	"3,144.25"	"3,146.15"	"3,147.90"	"3,143.96"	"3,743.90"	"2,142.00"	"6,63,988"	"2,08,75,49,223.60"	"42,349"
04-Jul-24	EQ	"3,192.00"	"3,194.45"	"3,138.05"	"3,190.95"	"3,143.90"	"3,144.25"	"3,156.24"	"3,743.90"	"2,142.00"	"10,55,391"	"3,33,10,71,411.90"	"72,430"
03-Jul-24	EQ	"3,158.00"	"3,194.55"	"3,147.75"	"3,153.20"	"3,185.00"	"3,190.95"	"3,170.61"	"3,743.90"	"2,142.00"	"11,52,522"	"3,65,41,96,666.50"	"56,436"
02-Jul-24	EQ	"3,179.85"	"3,207.80"	"3,131.05"	"3,183.80"	"3,150.00"	"3,153.20"	"3,169.46"	"3,743.90"	"2,142.00"	"14,90,844"	"4,72,51,65,851.20"	"93,900"
01-Jul-24	EQ	"3,179.95"	"3,193.15"	"3,157.55"	"3,177.15"	"3,180.00"	"3,183.80"	"3,175.58"	"3,743.90"	"2,142.00"	"8,32,170"	"2,64,26,20,638.30"	"54,965"
28-Jun-24	EQ	"3,190.00"	"3,211.95"	"3,157.00"	"3,175.15"	"3,174.00"	"3,177.15"	"3,184.74"	"3,743.90"	"2,142.00"	"9,60,905"	"3,06,02,30,005.50"	"51,717"
27-Jun-24	EQ	"3,177.00"	"3,202.25"	"3,150.00"	"3,170.50"	"3,175.00"	"3,175.15"	"3,170.85"	"3,743.90"	"2,142.00"	"51,14,980"	"16,21,88,11,241.75"	"1,53,131"
26-Jun-24	EQ	"3,169.05"	"3,187.70"	"3,163.90"	"3,171.10"	"3,169.00"	"3,170.50"	"3,174.21"	"3,743.90"	"2,142.00"	"21,42,889"	"6,80,19,83,095.80"	"58,917"
25-Jun-24	EQ	"3,204.75"	"3,208.45"	"3,156.35"	"3,194.60"	"3,169.05"	"3,171.10"	"3,175.93"	"3,743.90"	"2,142.00"	"16,94,962"	"5,38,30,86,693.10"	"58,570"
24-Jun-24	EQ	"3,185.75"	"3,214.80"	"3,135.00"	"3,189.30"	"3,193.95"	"3,194.60"	"3,191.57"	"3,743.90"	"2,142.00"	"32,61,647"	"10,40,97,68,963.35"	"1,07,805"
21-Jun-24	EQ	"3,265.05"	"3,277.10"	"3,176.40"	"3,259.45"	"3,192.80"	"3,189.30"	"3,205.27"	"3,743.90"	"2,142.00"	"46,97,655"	"15,05,72,60,547.20"	"1,60,462"
20-Jun-24	EQ	"3,263.90"	"3,315.00"	"3,240.00"	"3,261.90"	"3,261.95"	"3,259.45"	"3,279.03"	"3,743.90"	"2,142.00"	"13,66,545"	"4,48,09,42,189.50"	"97,561"
19-Jun-24	EQ	"3,314.00"	"3,314.00"	"3,226.30"	"3,309.05"	"3,264.25"	"3,261.90"	"3,259.86"	"3,743.90"	"2,142.00"	"14,19,264"	"4,62,65,99,834.50"	"84,944"
18-Jun-24	EQ	"3,310.00"	"3,345.00"	"3,287.20"	"3,261.75"	"3,310.95"	"3,309.05"	"3,311.54"	"3,743.90"	"2,142.00"	"17,55,612"	"5,81,37,79,346.75"	"1,07,419"
14-Jun-24	EQ	"3,225.00"	"3,275.00"	"3,221.10"	"3,224.80"	"3,269.00"	"3,261.75"	"3,252.79"	"3,743.90"	"2,142.00"	"42,24,855"	"13,74,25,75,345.95"	"98,091"
13-Jun-24	EQ	"3,230.00"	"3,254.00"	"3,207.25"	"3,219.05"	"3,222.25"	"3,224.80"	"3,221.11"	"3,743.90"	"2,142.00"	"32,02,978"	"10,31,71,33,491.70"	"96,083"
12-Jun-24	EQ	"3,224.90"	"3,245.00"	"3,208.00"	"3,221.25"	"3,209.00"	"3,219.05"	"3,226.61"	"3,743.90"	"2,142.00"	"30,22,477"	"9,75,23,55,044.00"	"74,328"
11-Jun-24	EQ	"3,224.00"	"3,265.00"	"3,195.05"	"3,220.10"	"3,215.00"	"3,221.25"	"3,235.16"	"3,743.90"	"2,142.00"	"41,73,692"	"13,50,25,65,941.05"	"1,21,200"
10-Jun-24	EQ	"3,267.00"	"3,284.40"	"3,205.50"	"3,219.55"	"3,212.30"	"3,220.10"	"3,247.80"	"3,743.90"	"2,142.00"	"49,35,698"	"16,03,01,74,654.60"	"1,52,562"
07-Jun-24	EQ	"3,170.40"	"3,233.75"	"3,151.60"	"3,185.65"	"3,222.50"	"3,219.55"	"3,207.35"	"3,743.90"	"2,142.00"	"47,40,455"	"15,20,43,07,672.25"	"1,46,457"
06-Jun-24	EQ	"3,184.00"	"3,222.40"	"3,137.15"	"3,115.35"	"3,181.60"	"3,185.65"	"3,186.26"	"3,743.90"	"2,142.00"	"58,73,271"	"18,71,37,84,941.80"	"2,78,600"
05-Jun-24	EQ	"3,030.00"	"3,150.00"	"2,750.00"	"2,941.25"	"3,093.00"	"3,115.35"	"2,958.33"	"3,743.90"	"2,142.00"	"87,78,345"	"25,96,92,15,655.60"	"6,12,958"
04-Jun-24	EQ	"3,520.00"	"3,520.00"	"2,733.95"	"3,645.25"	"2,950.00"	"2,941.25"	"3,136.46"	"3,743.90"	"2,142.00"	"2,03,06,909"	"63,69,18,14,268.95"	"8,48,267"
03-Jun-24	EQ	"3,725.00"	"3,743.90"	"3,586.05"	"3,411.35"	"3,660.10"	"3,645.25"	"3,659.12"	"3,743.90"	"2,142.00"	"85,11,359"	"31,14,40,98,467.80"	"4,14,787"
31-May-24	EQ	"3,225.25"	"3,434.45"	"3,225.25"	"3,194.25"	"3,416.00"	"3,411.35"	"3,359.45"	"3,457.85"	"2,142.00"	"63,84,589"	"21,44,86,93,814.45"	"2,90,001"
30-May-24	EQ	"3,254.00"	"3,274.30"	"3,174.50"	"3,258.80"	"3,209.90"	"3,194.25"	"3,219.99"	"3,457.85"	"2,142.00"	"19,90,208"	"6,40,84,54,413.45"	"1,12,565"
29-May-24	EQ	"3,250.00"	"3,322.90"	"3,212.00"	"3,244.05"	"3,255.00"	"3,258.80"	"3,270.30"	"3,457.85"	"2,142.00"	"19,10,729"	"6,24,86,51,475.65"	"98,310"
28-May-24	EQ	"3,309.65"	"3,329.50"	"3,229.05"	"3,289.05"	"3,239.00"	"3,244.05"	"3,282.72"	"3,457.85"	"2,142.00"	"16,21,168"	"5,32,18,41,029.35"	"95,508"
27-May-24	EQ	"3,358.00"	"3,358.00"	"3,267.05"	"3,384.95"	"3,295.05"	"3,289.05"	"3,307.40"	"3,457.85"	"2,142.00"	"25,82,485"	"8,54,13,06,058.00"	"1,40,021"
